,Unnamed: 0,Community Area Mentioned,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Tweet Latitude,Tweet Longitude,sentiment,Compound
234,234,englewood,2016-03-04 19:19:20,0.0,0.0,"Spike Lee Calls Chance the Rapper 'Fraud,' Rips Local Critics of 'Chi-Raq'  https://t.co/zJ3GRGiNWd via @DNAinfoCHI",0.0,0.0,"{'neg': 0.128, 'neu': 0.756, 'pos': 0.116, 'compound': -0.0516}",-0.0516
235,235,englewood,2016-03-04 18:14:00,0.0,1.0,RT @evanFmoore: Police Plan DUI Checkpoint on Dan Ryan Saturday Night via @DNAinfoCHI https://t.co/WbRjwYn8yD,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
236,236,englewood,2016-03-04 18:12:12,0.0,1.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night via @DNAinfoCHI https://t.co/WbRjwYn8yD,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
237,237,englewood,2016-03-04 18:07:42,0.0,1.0,"RT @WVON1690: Vernard Gilmore, Alvin Ailey Dancer and Chicago Native who grew up in Englewood and graduate from Curie H.S.... https://t.co/…",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
238,238,englewood,2016-03-04 17:52:35,2.0,1.0,"Vernard Gilmore, Alvin Ailey Dancer and Chicago Native who grew up in Englewood and graduate from Curie H.S.... https://t.co/ERNMwY8wXh",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
239,239,englewood,2016-03-04 17:40:23,1.0,2.0,"Cнecĸ Oυт New FEASTIN @perklive @loudgangusa @ Englewood, Chicago https://t.co/2sMSfDNofx",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
240,240,englewood,2016-03-04 17:38:48,0.0,0.0,Why always on Southside???Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/SXeLl5ebjf via @DnainfoCHI,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
241,241,englewood,2016-03-04 17:08:29,0.0,0.0,Mom dukes from Englewood pops was from south Chicago,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
242,242,englewood,2016-03-04 16:53:12,0.0,0.0,General Soreness is the pound-for-pound worst reader in Chicago. #Englewood #Chiraq #illiteracy https://t.co/l3swZbnPbZ,0.0,0.0,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.6249}",-0.6249
243,243,englewood,2016-03-04 16:34:06,0.0,6.0,"RT @PastahJ: Great article about #goodinenglewood ""Flint Lives Matter"" in @DNAinfoCHI today.  Join @CanaanLoveGP in our response! https://t…",0.0,0.0,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.7712}",0.7712
